item_img,item_title,item_price
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/7/5/7/3/5/5/TCVAY/2028757355_B.jpg,[인텔] Intel 정품 CPU 쿨러 1150 1151 1155 1156,"4,920"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/0/8/4/5/1/7/ckrbH/2266084517_B.jpg,AMD 라이젠 7 피나클릿지 2700X [CPU/정품BOX제품/정품쿨러포함/AMD총판직판매/DWCTS],"413,820"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/0/3/9/6/5/7/xkWQh/2293039657_B.jpg,ASRock H310CM-HDV Plus 에즈윈 메인보드 (정품),"80,850"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/4/9/1/4/5/6/jXHml/2031491456_B.jpg,ASUS PRIME X470-PRO STCOM 메인보드 (정품),"226,590"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/6/9/9/1/2/2/QjFgI/2331699122_B.jpg,Thermalright Le GRAND MACHO RT / CPU 쿨러/재고보유중,"103,190"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/1/5/5/7/7/0/zrvYW/2117155770_B.jpg,GIGABYTE GA-A320M-S2H 듀러블에디션 제이씨현 (정품),"75,530"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/4/4/0/2/5/7/MeamR/2335440257_B.jpg,MSI B450M 박격포 AMD AM4 메인보드 A/S 3년,"126,590"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/8/7/0/7/9/2/txcMb/2205870792_B.jpg,[공식판매점] SCYTHE MUGEN 5 CPU쿨러 (정품) (안전포장) (오늘출발),"71,270"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/2/9/4/6/4/8/ATrYQ/2115294648_B.jpg,[잘만] 잘만 CNPS80F 저소음 CPU 쿨러 튜닝 인텔 AMD 라이젠,"6,910"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/9/7/4/5/2/0/regNy/2027974520_B.jpg,ASUS ROG STRIX B360-G GAMING STCOM 메인보드 (정품),"125,530"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/8/7/1/0/0/6/DDlUJ/2205871006_B.jpg,[공식판매점] SCYTHE NINJA 5 (정품) (안전포장) (Thermal Grizzly Kryonaut 1g 1:1증정),"77,650"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/6/0/3/4/4/7/qygVW/2265603447_B.jpg,잘만 CNPS9X OPTIMA WHITE LED CPU쿨러 강력냉각,"26,590"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/6/6/1/4/1/6/KmNxM/2316661416_B.jpg,[잘만] 잘만 CNPS9X OPTIMA WHITE LED / CPU쿨러:,"26,590"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/9/1/6/3/6/3/htFJa/2022916363_B.jpg,ㄴMSI B360M 박격포 티타늄/메인보드/인텔 [KF94마스크증정],"132,970"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/0/6/5/3/5/5/cYHrA/2342065355_B.jpg,[써모랩] 써모랩 TRINITY WHITE LED CPU쿨러,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/dl/19/8/4/4/5/0/6/ryKHN/1790844506_128722790.jpg,써모랩 TRINITY S5.0 트리니티 CPU쿨러,
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/3/4/4/6/7/4/WAKAl/2293344674_B.jpg,NZXT KRAKEN X72 수냉쿨러 CPU쿨러~~,"307,440"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/19/8/2/2/6/0/4/wmtVQ/2340822604_B.jpg,[잘만] CNPS10X OPTIMA II CPU쿨러 화이트LED,"42,440"
http://i.011st.com/ex_t/R/400x400/1/85/0/src/pd/18/7/6/7/2/6/9/IpgNL/2210767269_B.jpg,DEEPCOOL GAMMAXX GT RGB 아우라 싱크 (CPU쿨러) (정품),
