movie_img,movie_name,movie_name_e,movie_content,movie_director,movie_actor,movie_cate,movie_age,movie_date
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81791/81791_185.jpg,더 보이,Brightburn,다른 세계에서 온 특별한 힘을 가진 소년 ‘브랜든’이 사악한 존재로 자라면서 벌어지는 이야기를 그린 SF 호러,데이비드 야로베스키,"잭슨 A. 던,엘리자베스 뱅크스,데이비드 덴맨", / 기본 : ,"미정, 0분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81770/81770_185.jpg,스트롱거,Stronger,,데이빗 고든 그린,"제이크 질렌할,타티아나 마슬라니,클랜시 브라운", / 기본 : ,"15세 이상, 119분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81771/81771_185.jpg,해피엔드,Happy End,,미카엘 하네케,"이자벨 위페르,장 루이 트랭티냥,마티유 카소비츠", / 기본 : ,"미정, 107분, 독일, 오스트리아, 프랑스",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81774/81774_185.jpg,기생충,PARASITE,"전원백수인 ‘기택’네 장남 ‘기우’가 고액 과외 면접을 위해,
‘박사장’네 집에 발을 들이면서 시작된 두 가족의 만남이 걷잡을 수 없는 사건으로 번져가는 이야기",봉준호,"송강호,이선균,조여정,최우식,박소담,장혜진",장르 : 드라마,"15세 이상, 131분, 한국",개봉 : 
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81772/81772_185.jpg,베카신!,Becassine!,,브뤼노 포달리데,에밀린 바야르트, / 기본 : ,"전체, 96분, 프랑스",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81775/81775_185.jpg,논-픽션,Non-Fiction,,올리비에 아사야스,"줄리엣 비노쉬,기욤 까네,빈센트 맥케인", / 기본 : ,"15세 이상, 108분, 프랑스",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81776/81776_185.jpg,로지,ROGIE,,패디 브레스내치,"사라 그린,모 던포드", / 기본 : ,"미정, 0분, 아일랜드",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81777/81777_185.jpg,[CGV X 사이다경제]나는 집을 살 수 있을까,CGV X cidermics,,,,,"전체, 120분, ",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81779/81779_185.jpg,돈키호테를 죽인 사나이,The Man Who Killed Don Quixote,"
 ,
보드카 광고 촬영을 위해 스페인의 작은 마을로 오게 된 잘 나가는 천재 CF 감독 ‘토비’(아담 드라이버).,
촬영에 고전을 겪던 어느 날, 우연히 스페인에서 촬영했던,
자신의 졸업작품이자 출세작 <돈키호테를 죽인 사나이> DVD를 보게 된다.,
직접 촬영 장소를 헌팅하고, 고정 관념을 깨기 위해 현지 주민들을 배우로 섭외하는 등,
모든 것에 열정이 넘치던 꿈 많았던 과거를 떠올리며 당시 영화 촬영 장소를 찾아간다.,
그리고 그곳에서 진짜 ‘돈키호테’(!)가 되어 버린 구둣방 할아버지가,
자신을 ‘산초’라고 부르며 무척 반갑게 맞이하는데…,
 ,
",테리 길리엄,"아담 드라이버,조나단 프라이스,올가 쿠릴렌코,스텔란 스카스가드", / 기본 : ,"12세 이상, 133분, 미국",
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81778/81778_185.jpg,벤 이즈 백,Ben is back,,피터 헤지스,"줄리아 로버츠,루카스 헤지스,캐서린 뉴튼", / 기본 : ,"15세 이상, 103분, 미국",
