movie_img,movie_name,movie_name_e,movie_director,movie_actor,movie_cate,movie_age,movie_date,movie_content
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81791/81791_185.jpg,더 보이,Brightburn,데이비드 야로베스키,"잭슨 A. 던,엘리자베스 뱅크스,데이비드 덴맨",장르 : ,"미정, 0분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81771/81771_185.jpg,해피엔드,Happy End,미카엘 하네케,"이자벨 위페르,장 루이 트랭티냥,마티유 카소비츠",장르 : 드라마,"미정, 107분, 독일, 오스트리아, 프랑스",,"
                프랑스 칼레 지역의 부유한 ‘로랑’ 가문, 어린 소녀 ‘이브’가 다시 가족의 일원으로 합류한다.,
조용히 가족들을 관찰하던 ‘이브’는 할아버지 ‘조지’가 가족들 몰래 자살을 시도한다는 사실을 알게 된다.
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81767/81767_185.jpg,갤버스턴,Galveston,멜라니 로랑,"벤 포스터,엘르 패닝,릴리 라인하트,마리아 발베르드",장르 : 드라마,"미정, 91분, 미국",,"
                짊어진 삶의 무게가 너무도 무거운 밑바닥 인생 '로이',,
그는 보스가 놓은 함정에 빠져 지옥 같은 사투 끝에 가까스로 목숨을 건지게 되고,,
그곳에서 두려움에 떨고 있는 '록키'를 발견해 함께 탈출한다.,
텍사스 주 갤버스턴으로 도망치던 중, '록키'의 여동생이 나타나며 계획에 차질이 생긴다.,
자신보다 먼저 지켜야 할 것이 있는 '록키'와 그런 그녀에게 희망을 선물하고픈 '로이',,
하지만 '록키'가 숨기고 있던 비밀이 '로이'까지 위협해오게 된다.
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81774/81774_185.jpg,기생충,PARASITE,봉준호,"송강호,이선균,조여정,최우식,박소담,장혜진", / 배우 : ,"15세 이상, 131분, 한국",개봉 : ,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81749/81749_185.jpg,어벤져스: 엔드게임,Avengers: Endgame,"안소니 루소,조 루소",, / 기본 : ,"12세 이상, 181분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81775/81775_185.jpg,논-픽션,Non-Fiction,올리비에 아사야스,"줄리엣 비노쉬,기욤 까네,빈센트 맥케인",장르 : 드라마,"15세 이상, 108분, 프랑스",,"
                ,

,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81777/81777_185.jpg,[CGV X 사이다경제]나는 집을 살 수 있을까,CGV X cidermics,,,개봉 : ,"전체, 120분, ",,"
                
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81776/81776_185.jpg,로지,ROGIE,패디 브레스내치,"사라 그린,모 던포드",장르 : 드라마,"미정, 0분, 아일랜드",,"
                ,

,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81778/81778_185.jpg,벤 이즈 백,Ben is back,피터 헤지스,"줄리아 로버츠,루카스 헤지스,캐서린 뉴튼",장르 : 드라마,"15세 이상, 103분, 미국",,"
                ,
            "
http://img.cgv.co.kr/Movie/Thumbnail/Poster/000081/81780/81780_185.jpg,언더 더 씨2,,에반 트라멜,"오은수,방지원,송영인,조연우,신정훈,박상우",장르 : 애니메이션,"전체, 0분, 미국",,"
                ,
            "
