movie_img,movie_title,movie_title_e,movie_score,movi_content,movie_maker,movie_actor,reple_score,reple_content
https://movie-phinf.pstatic.net/20190411_137/1554973943268Tu8fN_JPEG/movie_image.jpg?type=m203_290_2,미성년,"Another Child
					
					, 
					2018",관람객 평점 8.42점,"같은 학교 2학년 주리(김혜준)와 윤아(박세진)가 학교 옥상에서 만났다. , 최근 주리의 아빠 대원(김윤석)과 윤아의 엄마 미희(김소진) 사이에 벌어진 일을 알게 된 두 사람., 이 상황이 커지는 것을 막고 싶은 주리는 어떻게든 엄마 영주(염정아) 몰래 수습해보려 하지만, 윤아는 어른들 일에는 관심 없다며 엮이지 않으려 한다. , 그 때, 떨어진 주리의 핸드폰을 뺏어든 윤아는 영주의 전화를 받아 , 그 동안 감춰왔던 엄청난 비밀을 폭로해 버리고, 이를 본 주리는 멘붕에 빠지게 되는데… , , 폭풍 같은 사건을 마주한 두 가족의 이야기가 시작된다.",김윤석,"염정아,김소진,김혜준","10,10,10,10,10","그동안 왜 김윤석이 감독과의의견으로계속싸웠는알꺼같음ㅋㅋ 연기만훌륭한줄알았는데 연출력도 섬세하고 훌륭함  ,박평식 7점이다 믿고보자  ,김윤석은 연기를 잘하는 것이 아니다. 영화를 잘하는것이다.  ,초짜 감독도 이리 잘만드는데...반성해라 기존 감독들  ,박평식이 올해의 데뷔작이란다 믿고 보자  "
https://movie-phinf.pstatic.net/20190306_280/1551849045570X4iac_JPEG/movie_image.jpg?type=m203_290_2,돈,"Money
					
					, 
					2018",관람객 평점 8.40점,"오직 부자가 되고 싶은 꿈을 품고 여의도 증권가에 입성한 신입 주식 브로커 조일현(류준열). , 빽도 줄도 없는, 수수료 O원의 그는 곧 해고 직전의 처지로 몰린다., 위기의 순간, 베일에 싸인 신화적인 작전 설계자 번호표(유지태)를 만나게 되고, , 막대한 이익을 챙길 수 있는 거래 참여를 제안 받는다. , 위험한 제안을 받아들인 후 순식간에 큰 돈을 벌게 되는 일현. , 승승장구하는 일현 앞에 번호표의 뒤를 쫓던 금융감독원의 사냥개 한지철(조우진)이 나타나 , 그를 조여 오기 시작하는데…",박누리,"류준열,유지태,조우진","10,10,4,10,10","부자되고 싶으면 추천 거지되고 싶으면 비추천  ,시간순삭  깔끔하고 쫄깃하고 군더더기없는 영화네요  조일현은 부자가 되고 싶었고  류준열은 영화에서 표정연기부자가 되었다  ,알바댓글에 또 속았다하시는 분들은 추천  ,시간 가는 줄 모르고 재미나게 봤어요. 류준열 배우는 진짜 연기 잘하네요. 유지태, 조우진 등등 배우분들 모두 앙상블이 잘 이루어진 영화라 느꼈습니다.  ,주식영화라고 해서 좀 어려울까 했는데 주식에 대해 전혀 몰라도 스토리 이해하는데 상관 없었음ㅋㅋ  "
https://movie-phinf.pstatic.net/20190329_232/1553849027701K0DBy_JPEG/movie_image.jpg?type=m203_290_2,어스,"Us
					
					, 
					2019",관람객 평점 7.82점,"우리는 누구인가?, 엄마, 아빠, 딸, 아들, 그리고 다시, 엄마, 아빠, 딸, 아들…",조던 필,"루피타 뇽,윈스턴 듀크,엘리자베스 모스","8,10,8,6,8","빨간옷중.. 유일하게 언어를 쓸수 있는 이유..  ,공포영화인줄 알았는데 미친영화였다...  ,영화 초반=컨저링급 후반=짱구의 좌충우돌 아메리카 대모험  ,호불호 많이 갈릴듯 소재는 참신했으나 풀어나가는 능력이 다소 미흡했다. 겟아웃 정도의 참신함과 몰입력은 아닌거같다.  ,어떤 영화가 낫다 공감 안낫다 비공감 이런것좀 하지마 맨날 이런게 베댓이야 어스자체만의 평점을 매기라고  "
https://movie-phinf.pstatic.net/20190322_198/1553220632606va06v_JPEG/movie_image.jpg?type=m203_290_2,샤잠!,"Shazam!
					
					, 
					2019",관람객 평점 7.83점,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지, 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다!, , 주문을 외쳐라, ‘샤잠’!",데이비드 F. 샌드버그,"제커리 레비,애셔 앤젤","1,7,10,10,2","영화 재미없다는데 이걸 마블충으로 몰아가네 ㅉㅉ  ,성인이 보기엔 많이 유치할 수 있습니다. 타겟 연령이 최대 중학생 정도에 맞춘 듯 하네요 아이들과 보시면 나름즐겁게 보실 수 있을 듯 합니다  ,vs 하는 따봉충들 좀 꺼저라  ,아니 이해가 안되는게 마블빠들은 왜 굳이 디씨와서 별로다 재미없다 침체기다 이러고 감?? 아이폰쓰는사람들이 무조건 갤럭시별로다 구리다 하는거마냥  ,Dc에서 뽀로로 대항마를 만들었다  "
https://movie-phinf.pstatic.net/20140307_37/1394178420944kseeB_JPEG/movie_image.jpg?type=m203_290_2,"씨, 베토벤","See, Beethoven
					
					, 
					2014",관람객 평점 8.86점,"무더운 여름날 대학가 근처의 어느 카페, 세 명의 여고동창생이 만난다. 커피, 담배, 사랑… 그녀들의 수다는 한참 이어지지만 그 누구도 쉽게 속내를 드러내지 못한다. 친구의 죽음이 자신의 탓이라 생각하며 괴로워하는 하진, 자유연애주의자이지만 양다리가 발각되어 솔로 생활 중인 성은, 유부남과의 연애로 고민 중인 영. 인생의 무게는 좀처럼 가벼워지지 않지만 수다를 멈출 수 없는 삼십 대 세 여자. 그녀들에게 이 하루의 만남은 어떤 의미가 될까?","민복기,박진순","김소진,공상아,오유진","10,10,10,10,10","보면서 보고싶은영화 간만에 좋은영화 남길만한영화  ,역시 차이무.. 실제 카페에서 옆테이블의 수다를 엿듣나 나온 기분이네요..ㅋ 남자라그런지 카페주이에 빙의.;; 연극으로 본 작품이라 더욱 특별했어요^^  ,와 ~~ 재미있어요. ^^ 느낌이  있으면서도 새롭게 느껴지는 묘한 매력이 있네요.. 강추합니다.. ^^  ,믿고 보는 배우들의 환상 연기 호흡!  ,곱씹어 볼 수록 맛난 영화랄까요. 재미도 있지만 많은 의미가 담겨 있는 영화입니다! 강력 추천.  "
https://movie-phinf.pstatic.net/20120912_8/1347412163448JcmHx_JPEG/movie_image.jpg?type=m203_290_2,사랑의 묘약,"Love Potion
					
					, 
					2012",,"대화가 단절된 지 오래인, 무늬만 부부인 남녀가 대화를 시도해 보려는 극도의 선택. 블랙코미디적인 아이디어가 뛰어났고, 강렬한 폭소와 함께 주제가 잘 드러난다. (출처: 서울국제초단편영상제(SESIFF))",김현규,"염정아,배성우",,
https://movie-phinf.pstatic.net/20180820_88/1534741971628EVrim_JPEG/movie_image.jpg?type=m203_290_2,봄이가도,"After Spring
					
					, 
					2017",관람객 평점 8.81점,"푸르스름한 이른 새벽, , “우리 향이… 돌아올 수 있는 건가요?” , 딸(김혜준)을 애타게 기다리는 엄마(전미선), , 고요한 정적의 한낮, , “가끔 헛것이 좀 보여요” , 운 좋게 홀로 살아남은 이(유재명), , 어수선한 분주함이 흐르는 저녁, , “밤낮없이 외로워서 우는 거래”, 아내의 흔적에 허탈한 남자(전석호), , 잊을 수 없는 그날 이후, , 그리움의 시간을 보내던 이들에게 , 기적 같은 하루가 찾아 오는데…","장준엽,진청하,전신환","유재명,전미선,전석호","10,10,10,10,10","크레딧 올라가고도 발이 떨어지지 않았다  ,그날의 아픔이 떠오르지만 꼭 봐야 할 영화  ,설익지만 감독들의 도전에 박수를 보내며  ,감독과 배우들이 관객과 소통하는 시간을 갖어 좋았다. 무엇보다..100마디 말보다 표정과 연기로 영화를 표현하는 배우들과 감독의 연출이 좋았다.  ,잘 봤습니다. 살아남은 자들의 슬픔을 담백히 보여주네요. 어려웠을텐데 출현해주셔서 좋은 연기 보여주신 배우님들께 감사드립니다. 희생자분들의 가족, 친지, 지인 분들께도 응원을 보내드립니다. 특히 구조활동을 해주셨던 의인분들께도 감사를 표합니다.  "
https://movie-phinf.pstatic.net/20190411_137/1554973943268Tu8fN_JPEG/movie_image.jpg?type=m203_290_2,미성년,"Another Child
					
					, 
					2018",관람객 평점 8.42점,,김윤석,"염정아,김소진,김혜준",,
https://movie-phinf.pstatic.net/20190416_252/1555376957636yCCne_JPEG/movie_image.jpg?type=m203_290_2,굿바이 마이 러브NK: 붉은 청춘,"Goodbye My Love, NK
					
					, 
					2017",,"1952년 한국 전쟁 당시 모스크바 국립영화학교로 유학을 떠난 8명의 북한 청년. , 새로운 정치적 열망으로 가득한 그 곳에서 조국에 대한 사랑을 깨닫는다. ,   , “우리 민족의 발전을 위해 , “붉은 광장에서 뜨거운 죽음을 맞이하자!”, , 죽음까지 결심한 뜨거운 맹세로부터 시작된 이들의 여정은, 시베리아, 무르만스크, 카자흐스탄 등 , 세계 속으로 흩어지면서 새로운 세상과 마주하는데…",김소영,12세 관람가,,
https://movie-phinf.pstatic.net/20190403_216/155425588233188Vu3_JPEG/movie_image.jpg?type=m203_290_2,프렌즈: 둥지탈출,"Manou the Swift
					
					, 
					2019",,"갈매기 가족의 둥지에서 자란 칼새의 새끼 ‘마누’는, 갈매기 비행 학교에서 가르치는 비행법에 적응하지 못한, 미운 아기 새가 되고 만다., 갈매기 대장 ‘칼리프’는 열등생 ‘마누’를 둥지에서 쫓아내려 하고,, ‘마누’는 갈매기들과 다시 가족이 되기 위해, 깃털 친구들의 도움을 받아 날기 대회 1등에 도전하기로 하는데…, , 가족과 함께하기 위해 둥지를 탈출한 ‘마누’, 과연 미운 아기 새에서 벗어나 하늘 높이 날아 오를 수 있을까?!","안드레아 블록,크리스티안 하스","조쉬 키튼,케이트 윈슬렛,윌렘 대포",,
